Cluster Index	Voxels	1-p-MAX	1-p-MAX X (mm)	1-p-MAX Y (mm)	1-p-MAX Z (mm)	1-p-COG X (mm)	1-p-COG Y (mm)	1-p-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	1214	0.999	8	-54	30	-0.612	-50.3	29.6	5.45	0	-36	38	3.63
8	1173	1	-10	8	-12	1.18	10.8	-6.13	8.16	-14	12	-6	3.97
7	488	0.99	4	52	-8	0.193	54.8	-4.34	5.07	4	52	-8	3.63
6	485	0.983	54	-70	2	52	-66.8	13.1	4.74	54	-70	2	3.57
5	210	0.996	-46	-74	4	-48	-71.5	4.49	6.55	-46	-74	4	4.15
4	46	0.959	12	42	14	5.22	43.1	12.9	4.32	12	42	14	3.87
3	8	0.952	24	-60	26	25	-61	27	3.81	26	-60	28	3.73
2	3	0.955	-46	-82	26	-46	-82	26	4.94	-46	-82	26	4.61
1	1	0.951	-42	-84	26	-42	-84	26	4.71	-42	-84	26	4.71
